Province name,District municipality name,District/Local municipality name,Total Population,Black African,Coloured,Indian/Asian,White,Informal Dwelling,Piped (tap) water on community stand,No access to piped (tap) water,Pit toilet,Bucket toilet,Communal refuse dump,Communal container/central collection point,Own refuse dump,Dump or leave rubbish anywhere (no rubbish disposal),Gas for lighting,Paraffin for lighting,Candles for lighting,Paraffin for cooking,Wood for cooking,Coal for cooking,Animal dung for cooking
Western Cape,West Coast,Matzikama,69043.38397,7028.71632,53657.59729,112.2634626,7580.863747,1826.603795,417.1692208,130.0946322,157.186608,560.8826747,187.640666,1556.069798,1216.881194,237.6507132,44.05423039,71.68270776,414.3819705,73.24102749,310.4710067,3.446572397,0.0
Western Cape,West Coast,Cederberg,55108.07841,12027.94971,37977.453,52.66492442,4368.73015,2865.139262,1522.524649,93.75549541,62.891033,489.8872688,194.909284,1375.215139,1614.902223,862.7905366,173.9431369,1278.937845,405.7869893,954.1986473,175.416207,4.674959201,0.0
Western Cape,West Coast,Bergrivier,70275.74464,7234.153934,51142.68663,102.8002369,10843.55748,1314.952899,66.60365028,68.25385872,34.07059428,237.9457432,217.1163377,889.0915139,1301.282461,21.61833244,42.46334747,0.0,109.5801643,20.09264628,71.63818829,0.0,0.0
Western Cape,West Coast,Saldanha Bay,154634.9758,46658.36287,79138.08938,751.7055646,25542.29147,5881.593959,2579.370101,992.587165,457.5618723,1764.295115,164.1361948,2922.15639,396.0746767,1499.537322,476.0959803,918.1012897,993.9802581,322.4565419,69.39090061,10.90823814,1.558319734
Western Cape,West Coast,Swartland,148331.4043,27073.52884,95105.9167,530.750633,23342.6975,3863.894191,408.0512288,323.9246352,129.5586745,943.8656292,689.1545104,3449.41267,2403.17571,246.173615,110.8758993,105.9098437,311.3661887,113.7750639,197.1526673,8.286498063,3.116639468
Western Cape,Cape Winelands,Cape Winelands,862703.017,251207.3412,469019.362,3137.913878,127818.0482,25037.84229,11412.80676,2492.139137,734.7199608,4334.710609,5319.158276,14282.47768,7386.069809,3361.248425,720.5137712,1954.482515,3005.37615,2718.260336,987.4124642,57.91414153,15.7481638
Western Cape,Cape Winelands,Witzenberg,103764.8286,27793.82768,66033.07431,157.6638671,8206.92831,2942.603482,1352.505794,416.7489582,49.88395484,305.7144772,935.5828054,2004.349978,2096.807754,402.4959274,35.91376092,411.3889219,551.5805852,453.9584541,184.8994863,11.89803693,1.558319734
Western Cape,Cape Winelands,Drakenstein,276800.0175,71758.54026,152825.4046,1173.502921,46531.73763,7140.082851,2405.282334,747.7772871,74.57848257,1904.595164,830.8723891,4377.72301,1451.771528,462.9450245,333.5453423,258.1125549,724.2959619,416.8962013,282.5731741,19.35970267,1.558319734
Western Cape,Cape Winelands,Stellenbosch,175410.6153,64901.6974,66314.5395,842.0221567,40818.7754,7050.622426,4611.395308,814.1382136,148.5381577,498.7742666,1614.174978,3817.44718,867.162228,639.2656413,115.8956313,576.4777105,746.0656261,678.620372,126.8866478,6.233278935,3.116639468
Western Cape,Cape Winelands,Breede Valley,212682.3492,63714.9655,125775.8348,829.3211385,20161.01247,6126.333423,2651.381036,171.7805504,403.2367033,1311.344205,1408.106552,3303.304413,1581.569655,1563.175039,158.5450584,467.3297392,699.1313731,889.323392,233.2822341,6.3982454,1.723286199
